type,mass_drivers_online,area_m2,system
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,1.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,2.0,,
infrastructure,3.0,,
infrastructure,3.0,,
infrastructure,3.0,,
infrastructure,3.0,,
infrastructure,3.0,,
infrastructure,3.0,,
infrastructure,3.0,,
infrastructure,4.0,,
infrastructure,4.0,,
infrastructure,4.0,,
infrastructure,4.0,,
infrastructure,4.0,,
infrastructure,4.0,,
infrastructure,4.0,,
infrastructure,5.0,,
infrastructure,5.0,,
infrastructure,5.0,,
infrastructure,5.0,,
infrastructure,6.0,,
infrastructure,6.0,,
infrastructure,6.0,,
infrastructure,6.0,,
infrastructure,7.0,,
infrastructure,7.0,,
infrastructure,7.0,,
infrastructure,7.0,,
infrastructure,7.0,,
infrastructure,8.0,,
infrastructure,8.0,,
infrastructure,8.0,,
infrastructure,8.0,,
infrastructure,9.0,,
infrastructure,9.0,,
infrastructure,9.0,,
infrastructure,10.0,,
infrastructure,10.0,,
infrastructure,11.0,,
infrastructure,11.0,,
infrastructure,11.0,,
infrastructure,12.0,,
infrastructure,12.0,,
infrastructure,12.0,,
infrastructure,13.0,,
infrastructure,13.0,,
infrastructure,14.0,,
infrastructure,14.0,,
infrastructure,14.0,,
infrastructure,15.0,,
infrastructure,15.0,,
infrastructure,16.0,,
infrastructure,16.0,,
infrastructure,17.0,,
infrastructure,17.0,,
infrastructure,18.0,,
infrastructure,19.0,,
infrastructure,19.0,,
infrastructure,20.0,,
infrastructure,21.0,,
infrastructure,21.0,,
infrastructure,22.0,,
infrastructure,22.0,,
infrastructure,23.0,,
infrastructure,24.0,,
infrastructure,24.0,,
infrastructure,25.0,,
infrastructure,25.0,,
infrastructure,26.0,,
infrastructure,27.0,,
infrastructure,28.0,,
infrastructure,29.0,,
infrastructure,30.0,,
infrastructure,31.0,,
infrastructure,32.0,,
infrastructure,33.0,,
infrastructure,34.0,,
infrastructure,35.0,,
infrastructure,36.0,,
infrastructure,37.0,,
infrastructure,38.0,,
infrastructure,39.0,,
infrastructure,40.0,,
infrastructure,41.0,,
infrastructure,42.0,,
infrastructure,43.0,,
infrastructure,45.0,,
infrastructure,46.0,,
infrastructure,48.0,,
infrastructure,49.0,,
infrastructure,51.0,,
infrastructure,52.0,,
infrastructure,54.0,,
infrastructure,56.0,,
infrastructure,57.0,,
infrastructure,59.0,,
infrastructure,60.0,,
infrastructure,62.0,,
infrastructure,63.0,,
infrastructure,65.0,,
infrastructure,66.0,,
infrastructure,68.0,,
infrastructure,70.0,,
infrastructure,72.0,,
infrastructure,75.0,,
infrastructure,77.0,,
infrastructure,80.0,,
infrastructure,82.0,,
infrastructure,85.0,,
infrastructure,87.0,,
infrastructure,90.0,,
infrastructure,92.0,,
infrastructure,95.0,,
infrastructure,97.0,,
infrastructure,100.0,,
infrastructure,102.0,,
infrastructure,105.0,,
infrastructure,107.0,,
infrastructure,110.0,,
infrastructure,112.0,,
infrastructure,116.0,,
infrastructure,120.0,,
infrastructure,124.0,,
infrastructure,128.0,,
infrastructure,132.0,,
infrastructure,136.0,,
infrastructure,140.0,,
infrastructure,144.0,,
infrastructure,148.0,,
infrastructure,152.0,,
infrastructure,156.0,,
infrastructure,160.0,,
infrastructure,164.0,,
infrastructure,168.0,,
infrastructure,172.0,,
infrastructure,176.0,,
infrastructure,181.0,,
infrastructure,187.0,,
infrastructure,193.0,,
infrastructure,199.0,,
infrastructure,206.0,,
infrastructure,212.0,,
infrastructure,219.0,,
infrastructure,225.0,,
infrastructure,231.0,,
infrastructure,238.0,,
infrastructure,244.0,,
infrastructure,251.0,,
infrastructure,257.0,,
infrastructure,264.0,,
infrastructure,270.0,,
infrastructure,276.0,,
