day,phase,pv_m2,structure_kg,launched_m2,cum_area_m2,optical_depth,power_GW_1AU_equiv,mass_drivers_online,energy_kWh,resource_remaining_kg,used_mass_kg_day,transport_MW_used,transport_MWh,band_0_area_m2,band_1_area_m2,band_2_area_m2,band_0_od,band_1_od,band_2_od
0,0,9200.0,27600.0,0.0,0.0,0.0,0.0,0,161131.2611464968,1.5425034164192722e+18,28980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,10715.548995509793,32146.64698652938,0.0,0.0,0.0,0.0,0,187674.99168734456,1.5425034164192384e+18,33753.97933585585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,11715.329378910326,35145.98813673098,0.0,0.0,0.0,0.0,0,205185.41277939416,1.5425034164192015e+18,36903.28754356753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,12480.75981251858,37442.27943755574,0.0,0.0,0.0,0.0,0,218591.36615843847,1.542503416419162e+18,39314.39340943353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,13108.748408912705,39326.24522673811,0.0,0.0,0.0,0.0,0,229590.1264326345,1.542503416419121e+18,41292.557488075014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,13645.23760415749,40935.71281247247,0.0,0.0,0.0,0.0,0,238986.34171755423,1.542503416419078e+18,42982.498453096094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,14115.926752747957,42347.78025824387,0.0,0.0,0.0,0.0,0,247230.11738280996,1.5425034164190333e+18,44465.16927115606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,14536.76013828614,43610.28041485842,0.0,0.0,0.0,0.0,0,254600.7058767575,1.5425034164189875e+18,45790.79443560134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,14918.36331047385,44755.08993142154,0.0,0.0,0.0,0.0,0,261284.20591937812,1.5425034164189407e+18,46992.84442799262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,15268.199548425557,45804.59864527667,0.0,0.0,0.0,0.0,0,267411.3313776286,1.5425034164188925e+18,48094.8285775405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,15591.72685963741,46775.18057891223,0.0,0.0,0.0,0.0,0,273077.6752549005,1.5425034164188434e+18,49113.93960785784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,15893.066532904593,47679.19959871378,0.0,0.0,0.0,0.0,0,278355.4189056629,1.5425034164187935e+18,50063.159578649465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,16175.412505117163,48526.23751535149,0.0,0.0,0.0,0.0,0,283300.50179503736,1.5425034164187425e+18,50952.549391119064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,16441.29399305415,49323.881979162456,0.0,0.0,0.0,0.0,0,287957.2213022976,1.5425034164186906e+18,51790.076078120575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,16692.75058213902,50078.25174641706,0.0,0.0,0.0,0.0,0,292361.29927217163,1.542503416418638e+18,52582.164333737914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,16931.4527714977,50794.3583144931,0.0,0.0,0.0,0.0,0,296541.99327323626,1.5425034164185848e+18,53334.07623021776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,17158.787271653164,51476.361814959484,0.0,0.0,0.0,0.0,0,300523.59052455775,1.5425034164185306e+18,54050.17990570746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,17375.91880284763,52127.75640854289,0.0,0.0,0.0,0.0,0,304326.4902480398,1.542503416418476e+18,54734.144228970035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,17583.8357980398,52751.50739411939,0.0,0.0,0.0,0.0,0,307968.0041229424,1.5425034164184205e+18,55389.08276382536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,17783.384818953757,53350.154456861266,0.0,0.0,0.0,0.0,0,311462.9590577701,1.5425034164183644e+18,56017.662179704326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,17975.296890979826,53925.89067293947,0.0,0.0,0.0,0.0,0,314824.1584267698,1.5425034164183078e+18,56622.185206586444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,18160.207944462036,54480.623833386104,0.0,0.0,0.0,0.0,0,318062.74008410855,1.5425034164182508e+18,57204.65502505541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,18338.674886241966,55016.0246587259,0.0,0.0,0.0,0.0,0,321188.457845191,1.542503416418193e+18,57766.8258916622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
